CalYear_x,HourOfCall_x,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),Numero_jour,CalYear_y,HourOfCall_y,TurnoutTimeSeconds,TravelTimeSeconds,AttendanceTimeSeconds,PumpOrder,mois_1,mois_2,mois_3,mois_4,mois_5,mois_6,mois_7,mois_8,mois_9,mois_10,mois_11,mois_12,année_2009,année_2010,année_2011,année_2012,année_2013,année_2014,année_2015,année_2016,année_2017,année_2018,année_2019,année_2020,année_2021,année_2022,année_2023,IncidentGroup_False Alarm,IncidentGroup_Fire,IncidentGroup_Special Service,StopCodeDescription_AFA,StopCodeDescription_Chimney Fire,StopCodeDescription_False alarm - Good intent,StopCodeDescription_False alarm - Malicious,StopCodeDescription_Late Call,StopCodeDescription_Primary Fire,StopCodeDescription_Secondary Fire,StopCodeDescription_Special Service,StopCodeDescription_Use of Special Operations Room,PropertyCategory_Aircraft,PropertyCategory_Boat,PropertyCategory_Dwelling,PropertyCategory_Non Residential,PropertyCategory_Other Residential,PropertyCategory_Outdoor,PropertyCategory_Outdoor Structure,PropertyCategory_Rail Vehicle,PropertyCategory_Road Vehicle,ProperCase_Barking And dagenham,ProperCase_Barnet,ProperCase_Bexley,ProperCase_Brent,ProperCase_Bromley,ProperCase_Camden,ProperCase_City Of london,ProperCase_Croydon,ProperCase_Ealing,ProperCase_Enfield,ProperCase_Greenwich,ProperCase_Hackney,ProperCase_Hammersmith And fulham,ProperCase_Haringey,ProperCase_Harrow,ProperCase_Havering,ProperCase_Hillingdon,ProperCase_Hounslow,ProperCase_Islington,ProperCase_Kensington And chelsea,ProperCase_Kingston Upon thames,ProperCase_Lambeth,ProperCase_Lewisham,ProperCase_Merton,ProperCase_Newham,ProperCase_Redbridge,ProperCase_Richmond Upon thames,ProperCase_Southwark,ProperCase_Sutton,ProperCase_Tower Hamlets,ProperCase_Waltham Forest,ProperCase_Wandsworth,ProperCase_Westminster,IncidentStationGround_Acton,IncidentStationGround_Addington,IncidentStationGround_Barking,IncidentStationGround_Barnet,IncidentStationGround_Battersea,IncidentStationGround_Beckenham,IncidentStationGround_Bethnal Green,IncidentStationGround_Bexley,IncidentStationGround_Biggin Hill,IncidentStationGround_Brixton,IncidentStationGround_Bromley,IncidentStationGround_Chelsea,IncidentStationGround_Chingford,IncidentStationGround_Chiswick,IncidentStationGround_Clapham,IncidentStationGround_Croydon,IncidentStationGround_Dagenham,IncidentStationGround_Deptford,IncidentStationGround_Dockhead,IncidentStationGround_Dowgate,IncidentStationGround_Ealing,IncidentStationGround_East Greenwich,IncidentStationGround_East Ham,IncidentStationGround_Edmonton,IncidentStationGround_Eltham,IncidentStationGround_Enfield,IncidentStationGround_Erith,IncidentStationGround_Euston,IncidentStationGround_Feltham,IncidentStationGround_Finchley,IncidentStationGround_Forest Hill,IncidentStationGround_Fulham,IncidentStationGround_Greenwich,IncidentStationGround_Hainault,IncidentStationGround_Hammersmith,IncidentStationGround_Harold Hill,IncidentStationGround_Harrow,IncidentStationGround_Hayes,IncidentStationGround_Heathrow,IncidentStationGround_Hendon,IncidentStationGround_Heston,IncidentStationGround_Hillingdon,IncidentStationGround_Holloway,IncidentStationGround_Homerton,IncidentStationGround_Hornchurch,IncidentStationGround_Hornsey,IncidentStationGround_Ilford,IncidentStationGround_Islington,IncidentStationGround_Kensington,IncidentStationGround_Kentish Town,IncidentStationGround_Kingston,IncidentStationGround_Lambeth,IncidentStationGround_Lee Green,IncidentStationGround_Lewisham,IncidentStationGround_Leyton,IncidentStationGround_Leytonstone,IncidentStationGround_Mill Hill,IncidentStationGround_Millwall,IncidentStationGround_Mitcham,IncidentStationGround_New Cross,IncidentStationGround_New Malden,IncidentStationGround_Norbury,IncidentStationGround_North Kensington,IncidentStationGround_Northolt,IncidentStationGround_Old Kent Road,IncidentStationGround_Orpington,IncidentStationGround_Paddington,IncidentStationGround_Park Royal,IncidentStationGround_Peckham,IncidentStationGround_Plaistow,IncidentStationGround_Plumstead,IncidentStationGround_Poplar,IncidentStationGround_Purley,IncidentStationGround_Richmond,IncidentStationGround_Romford,IncidentStationGround_Ruislip,IncidentStationGround_Shadwell,IncidentStationGround_Shoreditch,IncidentStationGround_Sidcup,IncidentStationGround_Soho,IncidentStationGround_Southall,IncidentStationGround_Southgate,IncidentStationGround_Stanmore,IncidentStationGround_Stoke Newington,IncidentStationGround_Stratford,IncidentStationGround_Surbiton,IncidentStationGround_Sutton,IncidentStationGround_Tooting,IncidentStationGround_Tottenham,IncidentStationGround_Twickenham,IncidentStationGround_Wallington,IncidentStationGround_Walthamstow,IncidentStationGround_Wandsworth,IncidentStationGround_Wembley,IncidentStationGround_Wennington,IncidentStationGround_West Hampstead,IncidentStationGround_West Norwood,IncidentStationGround_Whitechapel,IncidentStationGround_Willesden,IncidentStationGround_Wimbledon,IncidentStationGround_Woodford,IncidentStationGround_Woodside
2009,18,1.0,2.0,2,60,260,2,2009,18,67.0,299.0,366,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,6,2.0,2.0,2,60,290,4,2014,6,130.0,387.0,517,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,15,2.0,2.0,2,60,364,1,2022,15,26.0,452.0,478,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,16,2.0,2.0,2,60,388,5,2023,16,14.0,286.0,300,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,8,1.0,1.0,1,60,364,0,2023,8,91.0,360.0,451,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,20,3.0,3.0,3,60,260,6,2009,20,63.0,272.0,335,3,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,2,1.0,1.0,1,60,260,6,2010,2,146.0,149.0,295,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,10,2.0,2.0,2,60,326,1,2016,10,57.0,423.0,480,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,12,2.0,3.0,3,60,255,3,2009,12,128.0,49.0,177,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2022,14,2.0,2.0,2,60,364,6,2022,14,72.0,47.0,119,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,18,2.0,3.0,3,60,260,5,2012,18,42.0,144.0,186,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,19,2.0,3.0,3,60,260,3,2013,19,96.0,178.0,274,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
